2023-05-16 21:05:961 INFO  HomePage :141 - Mouse hover on eletronics and click [[ChromeDriver: chrome on WINDOWS (dc729837676849f8179d29c6281bd9f8)] -> xpath: //ul[@class='top-menu notmobile']//a[normalize-space()='Electronics']]
2023-05-16 21:05:61 INFO  HomePage :147 - Mouse hover on Cellphone and click [[ChromeDriver: chrome on WINDOWS (dc729837676849f8179d29c6281bd9f8)] -> xpath: //ul[@class='top-menu notmobile']//a[normalize-space()='Cell phones']]
2023-05-16 21:05:147 INFO  CellPhonesPage :36 - Click on list view [[ChromeDriver: chrome on WINDOWS (dc729837676849f8179d29c6281bd9f8)] -> xpath: //a[contains(text(),'List')]]
2023-05-16 21:05:225 INFO  CellPhonesPage :42 - Click on product Nokia Lumia [[ChromeDriver: chrome on WINDOWS (dc729837676849f8179d29c6281bd9f8)] -> css selector: div:nth-of-type(3) > .product-item h2 > a]
2023-05-16 21:05:250 INFO  HomePage :51 - Verify Text from Webpage
2023-05-16 21:05:269 INFO  HomePage :57 - Verify Text from Webpage
2023-05-16 21:05:364 INFO  HomePage :63 - Send text to quantity: [[ChromeDriver: chrome on WINDOWS (dc729837676849f8179d29c6281bd9f8)] -> id: product_enteredQuantity_20]
2023-05-16 21:05:444 INFO  HomePage :69 - Click on add to cart [[ChromeDriver: chrome on WINDOWS (dc729837676849f8179d29c6281bd9f8)] -> id: add-to-cart-button-20]
2023-05-16 21:05:40 INFO  HomePage :75 - Verify Text from Webpage
2023-05-16 21:05:116 INFO  HomePage :81 - Click on add to cart [[ChromeDriver: chrome on WINDOWS (dc729837676849f8179d29c6281bd9f8)] -> css selector: span[title='Close']]
2023-05-16 21:05:294 INFO  HomePage :87 - Mouse hover on shopping cart [[ChromeDriver: chrome on WINDOWS (dc729837676849f8179d29c6281bd9f8)] -> xpath: //span[text()='Shopping cart']]
2023-05-16 21:05:317 INFO  HomePage :93 - Click on add to cart [[ChromeDriver: chrome on WINDOWS (dc729837676849f8179d29c6281bd9f8)] -> xpath: //button[text()='Go to cart']]
2023-05-16 21:05:345 INFO  HomePage :51 - Verify Text from Webpage
2023-05-16 21:05:377 INFO  HomePage :94 - Verify Text from Webpage
2023-05-16 21:05:396 INFO  HomePage :66 - Verify Text from Webpage
2023-05-16 21:05:451 INFO  HomePage :73 - Click on terms and conditon [[ChromeDriver: chrome on WINDOWS (dc729837676849f8179d29c6281bd9f8)] -> id: termsofservice]
